id,endereco,latitude,longitude
182,"Rua Santos Saraiva 2126, Capoeiras, Florianópolis - Santa Catarina, 88232, Brazil",-27.596787,-48.591078
183,"San Pablo, San Pedro, Paraguay",-24.15,-57.0667
184,"Avenida Delegado Ely Corrêa Prado 735, Mário Quintana, Porto Alegre - Rio Grande do Sul, 91260, Brazil",-30.034042,-51.106497
185,"34, Santa Cruz Das Palmeiras, São Paulo, Brazil",-21.830805,-47.235305
186,"Porto Alegre, Rio Grande do Sul, Brazil",-30.033,-51.2305
187,"Porto Alegre, Rio Grande do Sul, Brazil",-30.033,-51.2305
188,"Rua Doutor Martins Alves Camargo 202, Tinguí, Curitiba - Paraná, 82620, Brazil",-25.382635,-49.223323
189,"Quatro, Artur Nogueira, São Paulo, Brazil",-22.55,-47.17
190,"Rua Dos Robaletes 120, Jurere Oeste, Florianópolis - Santa Catarina, Brazil",-27.440573,-48.49478
191,"Rua Domingos Antônio De Morais 5, São Paulo - São Paulo, 05863, Brazil",-23.677176,-46.764202
192,"Porto Alegre, Rio Grande do Sul, Brazil",-30.033,-51.2305
193,"Rua Acyr Guimarães 559, Água Verde, Curitiba - Paraná, 80240, Brazil",-25.449767,-49.291263
194,"Travessa Itararé 37, Centro, Curitiba - Paraná, 80060, Brazil",-25.431857,-49.263727
195,"Rua Dos Eucaliptos 362, Canasvieiras, Florianópolis - Santa Catarina, Brazil",-27.429013,-48.450627
196,"Rua, Viseu, Portugal",40.9437,-7.5719
197,"Rua Arcipreste Paiva 43, Centro, Florianópolis - Santa Catarina, 88011, Brazil",-27.596394,-48.54964
198,"Rua Eleutério Araújo 80, Partenon, Porto Alegre - Rio Grande do Sul, 90680, Brazil",-30.064635,-51.187248
199,"Rua 25 De Julho, Santa Maria Goretti, Porto Alegre - Rio Grande do Sul, 91030, Brazil",-30.0037791,-51.1828109
