RUA DEPUTADO ANTONIO EDU VIEIRA,828,FLORIANÓPOLIS,SC,
RUA PORTO DO BEZERRA,542,CASA 1,SÃO PAULO,SP
RUA ALCIDES HONORIO DONA SILVEIRA,34,FUNDOS CASA 3,PORTO ALEGRE,RS
RUA VITAL BRASIL,129,APARTAMENTO 201,CURITIBA,PR
RUA PROFESSORA LUCIA LOPES,327,JOINVILLE,SC,
RUA FRANCISCA DE PAULA,170,ANDAR 1 APARTAMENTO 13,SÃO PAULO,SP
AVENIDA PROTASIO ALVES,978,PORTO ALEGRE,RS,
SERVIDAO RITA MARIA GARCIA,65,FLORIANÓPOLIS,SC,
SERVIDAO JOAO ANTONIO DONA LUZ,284,FLORIANÓPOLIS,SC,
ALAMEDA DOS JURUPIS,900 BLOCO A,APARTAMENTO 164,SÃO PAULO,SP
RUA MACHADO DUTRA,70,CASA,SÃO PAULO,SP
RUA PAJE,SN,QUADRA DOM LOTE 03 CASA 2 FUNDOS,JOINVILLE,SC
RUA MARQUES DO POMBAL,1571,APARTAMENTO 402,PORTO ALEGRE,RS
RUA CAPINZAL,473,ANDAR 2 APARTAMENTO 22,JOINVILLE,SC
RUA DUQUE DE CAXIAS,657,APARTAMENTO 301,PORTO ALEGRE,RS
RUA FOLHA DA TARDE,29,APARTAMENTO 204,PORTO ALEGRE,RS
RUA NORBERTO JUNG,65,APARTAMENTO 403,PORTO ALEGRE,RS
RUA MARINHEIRO,456,SÃO PAULO,SP,
RUA ARNALDO ALVERNAZ NUNES,115,SÃO PAULO,SP,
RUA LUIZ PERINI,319,JOINVILLE,SC,
RUA ITACIR LUIZ MIOLA,135,CURITIBA,PR,
RODOVIA AMARO ANTONIO VIEIRA,2155,BLOCO C APARTAMENTO 505,FLORIANÓPOLIS,SC
RUA ESQUIVEL NAVARRO,121,BLOCO C APARTAMENTO 54,SÃO PAULO,SP
RUA CIDADE DE MEDIANEIRA,SN,QUADRA 19 LOTE 7,JOINVILLE,SC
RUA IRACEMA SOMMER,421,PORTO ALEGRE,RS,
RUA CASEMIRO MITCZUK,460,CASA FRENTE,CURITIBA,PR
AVENIDA NOSSA SENHORA DONA LUZ,250,BLOCO B APARTAMENTO 202,CURITIBA,PR
RUA PROFESSOR MARCOS CARDOSO,51,SALA 1,FLORIANÓPOLIS,SC
RUA SANTOS SARAIVA,2126,APARTAMENTO 4,FLORIANÓPOLIS,SC
RUA LAGO MICHIGAN,6,CASA,SÃO PAULO,SP
AVENIDA DELEGADO ELY CORREA PRADO,735,PORTO ALEGRE,RS,
RUA DOUTOR VICTOR EUGENIO DE SACRAMENTO,34,SÃO PAULO,SP,
RUA RONDONIA,658,PORTO ALEGRE,RS,
AVENIDA ASSIS BRASIL,3747,APARTAMENTO 119,PORTO ALEGRE,RS
RUA DOUTOR MARINS ALVES CAMARGO,202,CURITIBA,PR,
RUA LOPES CHAVES,392,DEPENDENCIA 4,SÃO PAULO,SP
RUA DOS ROBALETES,120,FLORIANÓPOLIS,SC,
RUA DOMINGOS ANTONIO DE MORAIS,5 A,SÃO PAULO,SP,
AVENIDA DESEMBARGADOR ANDRE DONA ROCHA,311,APARTAMENTO 202,PORTO ALEGRE,RS
RUA ACYR GUIMARAES,559,APARTAMENTO 33,CURITIBA,PR
TRAVESSA ITARARE,37,ANDAR 06 APARTAMENTO 601,CURITIBA,PR
RUA DOS EUCALIPTOS,362,APARTAMENTO 103,FLORIANÓPOLIS,SC
RUA DONA FAZENDA,20,CASA,CURITIBA,PR
RUA ARCIPESTRE PAIVA,43,EDIFICIO APARTAMENTO 1005,FLORIANÓPOLIS,SC
RUA ELEUTERIO ARAUJO,80,APARTAMENTO 202,PORTO ALEGRE,RS
RUA VINTE E CINCO DE JULHO,161,PORTO ALEGRE,RS,
